SURVYEAR,FIPST,STABR,SEANAME,STREET,CITY,STNAME,ZIP,ZIP4,PHONE,PKTCH,KGTCH,ELMTCH,SECTCH,UGTCH,TOTTCH,AIDES,CORSUP,ELMGUI,SECGUI,OTHGUI,TOTGUI,LIBSPE,LIBSUP,LEAADM,LEASUP,SCHADM,SCHSUP,STUSUP,OTHSUP,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,UG,MEMBER,AMPKM,AMPKF,ASPKM,ASPKF,HIPKM,HIPKF,BLPKM,BLPKF,WHPKM,WHPKF,HPPKM,HPPKF,TRPKM,TRPKF,AMKGM,AMKGF,ASKGM,ASKGF,HIKGM,HIKGF,BLKGM,BLKGF,WHKGM,WHKGF,HPKGM,HPKGF,TRKGM,TRKGF,AM01M,AM01F,AS01M,AS01F,HI01M,HI01F,BL01M,BL01F,WH01M,WH01F,HP01M,HP01F,TR01M,TR01F,AM02M,AM02F,AS02M,AS02F,HI02M,HI02F,BL02M,BL02F,WH02M,WH02F,HP02M,HP02F,TR02M,TR02F,AM03M,AM03F,AS03M,AS03F,HI03M,HI03F,BL03M,BL03F,WH03M,WH03F,HP03M,HP03F,TR03M,TR03F,AM04M,AM04F,AS04M,AS04F,HI04M,HI04F,BL04M,BL04F,WH04M,WH04F,HP04M,HP04F,TR04M,TR04F,AM05M,AM05F,AS05M,AS05F,HI05M,HI05F,BL05M,BL05F,WH05M,WH05F,HP05M,HP05F,TR05M,TR05F,AM06M,AM06F,AS06M,AS06F,HI06M,HI06F,BL06M,BL06F,WH06M,WH06F,HP06M,HP06F,TR06M,TR06F,AM07M,AM07F,AS07M,AS07F,HI07M,HI07F,BL07M,BL07F,WH07M,WH07F,HP07M,HP07F,TR07M,TR07F,AM08M,AM08F,AS08M,AS08F,HI08M,HI08F,BL08M,BL08F,WH08M,WH08F,HP08M,HP08F,TR08M,TR08F,AM09M,AM09F,AS09M,AS09F,HI09M,HI09F,BL09M,BL09F,WH09M,WH09F,HP09M,HP09F,TR09M,TR09F,AM10M,AM10F,AS10M,AS10F,HI10M,HI10F,BL10M,BL10F,WH10M,WH10F,HP10M,HP10F,TR10M,TR10F,AM11M,AM11F,AS11M,AS11F,HI11M,HI11F,BL11M,BL11F,WH11M,WH11F,HP11M,HP11F,TR11M,TR11F,AM12M,AM12F,AS12M,AS12F,HI12M,HI12F,BL12M,BL12F,WH12M,WH12F,HP12M,HP12F,TR12M,TR12F,AMUGM,AMUGF,ASUGM,ASUGF,HIUGM,HIUGF,BLUGM,BLUGF,WHUGM,WHUGF,HPUGM,HPUGF,TRUGM,TRUGF
2011,1,AL,ALABAMA DEPARTMENT OF EDUCATION,5114 GORDON PERSONS BUILDING,MONTGOMERY,AL,36104,,3342429700,511.34000000000003,4825.64,21626.5,20759.19,-2.0,47722.67,6146.4800000000005,955.62,933.73,648.39,191.21,1773.33,1379.29,599.3000000000001,792.24,1605.2,2536.9900000000002,3224.73,2315.63,23237.91,8282,57602,57859,56315,55991,56491,58415,59082,59050,57919,61412,55908,50785,49510,-2,744621,27,21,55,42,287,215,1864,1672,2284,1675,1,4,72,63,153,117,404,363,2119,1922,9338,9158,17206,15414,19,24,701,664,184,211,398,397,1809,1784,9753,8954,17368,16041,20,25,443,472,217,212,428,430,1720,1586,9583,8866,16797,15817,14,9,320,316,238,203,424,427,1646,1545,9359,8918,16753,15876,16,17,299,270,243,247,362,370,1463,1404,9729,9395,16906,15853,9,21,251,238,236,233,384,399,1465,1406,10205,9759,17440,16406,12,15,244,211,257,268,420,402,1336,1300,10334,10081,17569,16695,7,7,197,209,264,278,336,360,1241,1185,10370,9980,17779,16913,12,7,154,171,262,282,397,336,1149,1077,10227,9911,17688,16324,15,4,131,116,269,253,388,376,1171,1030,11595,10613,18319,17101,11,10,136,140,239,282,372,372,1025,886,10026,9883,16870,15738,7,8,111,89,264,251,315,348,833,753,8525,8950,15532,14871,8,11,57,67,249,219,325,313,714,651,8201,9254,14934,14538,10,5,45,52,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,8,CO,COLORADO DEPARTMENT OF EDUCATION,201 EAST COLFAX AVENUE,DENVER,CO,80203,1799.0,3038666600,1044.35,3531.55,23080.57,20421.29,-2.0,48077.76,14117.92,2504.52,405.6,1460.18,293.57,2159.35,659.27,812.34,1156.48,4389.6900000000005,2829.38,4699.0,5520.2300000000005,13422.6,31091,66361,66398,65598,65956,64560,64089,63492,62153,61156,62358,60662,58993,61398,-2,854265,96,77,460,469,6583,5948,829,726,8269,6599,24,25,529,457,243,253,915,937,11475,10810,1553,1397,18665,17568,69,77,1200,1199,249,242,975,1096,11490,10871,1564,1457,18609,17397,78,60,1189,1121,238,262,967,1069,11163,10686,1544,1374,18512,17562,62,71,1102,986,246,246,998,1167,11030,10671,1531,1482,18711,17600,73,76,1047,1078,237,253,1034,1091,10764,10365,1553,1427,18381,17293,65,51,1018,1028,280,264,973,1077,10499,10229,1513,1416,18224,17421,51,65,1015,1062,284,257,932,1026,10397,10123,1600,1438,18362,17018,70,63,979,943,273,258,897,970,10054,9609,1562,1508,17966,17063,61,86,975,871,304,234,887,987,9531,9342,1573,1512,18051,16851,54,68,874,888,272,270,914,974,9847,9236,1601,1545,18333,17460,79,68,846,913,287,262,921,974,9126,8651,1541,1505,18140,17390,65,78,838,884,295,276,933,977,8445,7952,1537,1368,18091,17410,65,81,807,756,340,345,937,965,8827,8766,1691,1585,18690,17652,67,65,717,751,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,38,ND,NORTH DAKOTA DEPARTMENT OF PUBLIC I,600 E BOULEVARD AVENUE,BISMARCK,ND,58505,440.0,7013282260,135.91,525.72,4837.02,3026.37,-2.0,8525.02,2081.11,157.52,184.72302614453636,129.51697385546362,-2.0,314.24,193.89000000000001,196.85,472.51,255.94,451.33,522.49,809.45,2420.16,1706,8236,7521,7490,7229,7028,7029,6887,7326,7436,7483,7551,7376,7348,-2,97646,172,104,4,2,48,32,23,12,801,449,2,2,29,26,390,336,38,35,147,138,134,105,3516,3226,9,7,72,83,354,336,42,33,129,121,106,101,3277,2868,11,11,52,80,355,396,43,60,123,117,111,105,3101,2970,12,9,42,46,329,311,40,57,110,126,103,95,3077,2895,9,10,30,37,336,331,40,42,107,117,101,109,2943,2834,10,8,36,14,363,303,29,43,124,96,81,100,2971,2857,10,8,22,22,336,288,36,33,114,96,109,92,2929,2810,6,4,15,19,332,334,36,50,101,92,104,81,3164,2994,7,5,12,14,361,344,44,42,91,105,102,78,3173,3034,7,7,28,20,373,357,41,48,120,84,115,93,3191,2996,8,6,26,25,313,326,56,50,77,85,92,88,3277,3115,15,6,28,23,273,273,53,47,72,73,81,63,3292,3102,12,4,13,18,286,254,50,40,62,76,75,90,3298,3077,5,10,9,16,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,17,IL,ILLINOIS STATE BOARD OF EDUCATION,100 NORTH FIRST STREET,SPRINGFIELD,IL,62777,1.0,8662626663,2946.0,4993.74,81927.96,41909.61,-2.0,131777.31,29951.0,480.53000000000003,916.53,1968.89,246.28,3131.7000000000003,1919.81,1868.0,2728.59,2395.0,7361.97,1750.0,9522.22,20692.0,80723,145489,151937,153299,153362,151870,153769,155517,153362,153828,165849,163897,155148,145047,-2,2083097,166,121,1515,1188,12302,10957,8333,7811,20160,15270,66,52,1483,1299,245,219,3044,2893,19519,18890,12402,12093,36630,34020,86,84,2712,2652,216,228,3490,3473,20331,19175,13586,12831,37933,35482,75,101,2596,2420,220,221,3609,3493,19886,19393,13154,13000,38995,36137,67,68,2605,2451,224,199,3421,3457,20148,18920,13814,13273,38772,36203,75,79,2485,2292,227,210,3384,3246,19220,18523,13525,13018,39031,36688,64,62,2422,2250,190,221,3337,3308,19378,18320,13775,13371,39657,37555,60,66,2281,2250,234,243,3289,3297,18891,18097,14398,14122,40830,37546,78,64,2187,2241,257,229,3060,3066,18070,17303,14364,13609,41087,38057,61,56,2133,2010,262,219,3116,3066,17917,17109,14342,13888,40938,38847,96,89,2016,1923,266,256,3207,3134,19336,17942,16906,15613,44002,40982,75,93,2052,1985,255,253,3383,3281,18371,17147,16374,15733,43712,41532,67,67,1899,1823,261,208,3335,3217,15769,15572,13610,14216,43641,41658,72,73,1714,1802,195,215,3294,2943,13434,13778,11828,12930,42885,40464,51,62,1464,1504,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,49,UT,UTAH STATE OFFICE OF EDUCATION,PO BOX 144200,SALT LAKE CITY,UT,84114,4200.0,8015387500,258.17,1298.33,11475.73,10332.550000000001,2604.87,25969.65,8073.610000000001,1744.53,144.28,696.2,-2.0,840.48,274.95,434.6,402.88,657.1,1330.16,2095.95,1272.68,8897.880000000001,11972,48953,48829,48768,48039,46758,46198,45951,45097,43971,42540,41498,40565,39693,-2,598832,110,85,80,96,1439,1148,107,70,5250,3286,92,73,70,66,263,264,344,295,3789,3556,300,243,19788,18603,338,344,407,419,293,258,365,408,3904,3732,306,282,19435,18280,389,345,413,419,298,256,398,439,3954,3696,344,303,19150,18489,387,362,326,366,294,296,412,406,3859,3813,340,298,18891,18017,386,372,310,345,284,254,396,385,3772,3638,349,329,18471,17547,359,343,328,303,298,265,403,409,3609,3531,355,319,18271,17450,362,329,315,282,270,265,402,447,3640,3419,314,289,18079,17502,370,335,343,276,270,279,409,366,3545,3362,321,307,17925,16966,360,333,317,337,292,277,443,381,3439,3210,304,275,17553,16557,332,335,286,287,290,299,398,410,3247,3062,298,247,16808,16310,299,322,300,250,287,267,420,418,3170,2943,271,263,16731,15574,355,288,260,251,271,259,459,404,3006,2726,311,253,16166,15645,333,278,218,236,300,292,425,394,2884,2629,289,280,16206,14988,320,283,200,203,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,60,AS,AM. SAMOA DEPT. OF EDUCATION,GOVERNMENT OF AMERICAN SAMOA,PAGO PAGO,AS,96799,9999.0,6846335237,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,41,OR,OREGON DEPARTMENT OF EDUCATION,255 CAPITOL ST NE,SALEM,OR,97310,1300.0,5039475600,240.05,1675.64,16885.22,7990.070000000001,-2.0,26790.98,9192.91,389.2,559.090230108192,416.0497698918079,-2.0,975.14,203.01,696.5600000000001,432.72,3060.17,1557.53,3605.32,2159.85,11651.53,7262,41478,42402,42474,42463,42072,42885,43193,43428,43653,43968,44249,42783,45898,-2,568208,82,34,159,67,1248,525,168,54,3344,1480,26,7,50,18,376,365,736,770,5202,4814,470,514,13342,12526,156,144,1044,1019,333,323,803,812,5188,4954,497,454,13784,12793,166,158,1047,1090,361,341,799,852,5020,4786,464,510,13708,13092,161,143,1113,1124,344,359,853,882,4954,4607,528,510,13914,13115,137,139,1085,1036,340,351,806,801,4825,4628,512,493,13994,13048,158,128,990,998,390,365,841,877,4843,4622,544,511,14106,13420,125,137,1088,1016,392,408,883,882,4640,4482,549,511,14419,13612,142,121,1103,1049,424,440,840,811,4560,4273,637,515,14710,13814,148,152,1038,1066,425,397,826,830,4524,4293,562,539,14891,14099,123,135,1035,974,426,407,868,882,4337,4241,584,551,15110,14362,136,125,955,984,443,422,858,945,4373,3876,591,546,15475,14447,133,143,978,1019,414,393,842,889,3920,3762,591,581,15193,14140,136,118,916,888,496,396,965,895,4310,3983,774,644,16352,15004,156,137,927,859,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,29,MO,ELEMENTARY AND SECONDARY EDUCATION,PO BOX 480,JEFFERSON CITY,MO,65102,480.0,5737513503,1830.41,4134.27,28176.04,32110.81,-2.0,66251.53,13010.2,1031.3700000000001,1052.8600000000001,1476.47,44.12,2573.4500000000003,1422.05,103.93,1402.8700000000001,12397.7,3116.85,307.47,4197.16,26352.84,29931,69864,69325,68320,67473,67274,68154,68500,68122,68413,71813,69041,65879,64475,-2,916584,63,61,291,252,1027,755,2657,2374,12342,9481,24,22,326,256,145,142,645,646,2169,2046,5995,5592,26166,24160,79,77,1069,933,174,135,620,744,2072,2102,5838,5555,25972,24243,67,63,834,906,144,146,705,688,1961,1858,5878,5645,25869,24057,72,58,619,620,157,133,707,732,1883,1823,5708,5452,25662,23912,64,51,576,613,150,148,658,698,1865,1749,5794,5531,25569,23848,63,50,583,568,135,157,622,695,1747,1684,5822,5583,25778,24742,62,57,552,518,131,167,638,647,1668,1638,5951,5682,26399,24434,54,46,545,500,169,153,577,583,1642,1483,5933,5711,26231,24547,44,56,465,528,161,149,563,606,1595,1478,5965,5677,26470,24667,54,50,485,493,182,171,623,623,1581,1390,6504,6148,27672,25825,49,60,503,482,162,168,645,625,1325,1269,5845,5627,26900,25578,48,33,414,402,150,162,656,627,1289,1236,5321,5373,25901,24365,42,37,342,378,189,178,555,596,1162,1084,5173,5377,25258,24201,53,35,304,310,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,51,VA,VIRGINIA DEPARTMENT OF EDUCATION,PO BOX 2120,RICHMOND,VA,23218,2120.0,8042252023,1893.74,4278.05,35737.18,48922.82,-2.0,90831.79000000001,19736.19,1750.65,1240.8600000000001,1947.93,149.5,3338.29,1788.5,1845.08,1589.6000000000001,4270.63,4016.29,6787.55,4178.45,39952.86,31805,95574,95019,95322,93829,93770,94316,94863,93366,93361,100701,95596,91037,89324,-2,1257883,77,64,670,441,2860,2241,6068,5415,7192,5330,33,34,770,610,186,152,2824,2757,7236,6943,11187,10484,25462,23326,71,86,2436,2424,167,159,3074,2946,7025,6406,11002,10411,25404,23627,77,68,2372,2281,145,129,3150,3126,6282,6236,10801,10577,25829,24140,64,69,2487,2287,140,154,3143,3051,6085,5771,10798,10590,25367,24118,72,65,2238,2237,146,151,2998,2970,5932,5732,11360,10413,25546,24048,51,72,2200,2151,121,153,2977,2887,5620,5410,11210,10706,26150,24756,69,67,2088,2102,149,148,2866,2852,5496,5199,11598,11116,26632,24644,56,52,2043,2012,176,163,2730,2659,5102,4930,11568,10876,26404,24618,64,66,2002,2008,154,144,2788,2678,5110,4770,11494,11129,26605,24556,65,58,1820,1990,171,167,2930,2696,5718,5256,13373,11756,28399,26138,70,72,1928,2027,152,172,2880,2831,5097,4798,11811,11040,27253,25818,70,64,1742,1868,166,154,2961,2713,4909,4657,10528,10384,26207,24866,52,56,1613,1771,133,139,2703,2539,4279,4172,10610,10626,26100,24828,64,55,1474,1602,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,16,ID,IDAHO STATE DEPARTMENT OF EDUCATION,PO BOX 83720,BOISE,ID,83720,27.0,2083326800,127.98,654.32,6857.55,8350.59,-2.0,15990.44,3000.67,221.61,205.64000000000001,341.73,-2.0,547.37,71.28,278.32,62.35,606.96,662.36,917.79,805.95,4899.82,1338,21901,22557,22068,21845,21835,21818,21765,21765,21172,21479,20996,19911,19423,-2,279873,17,7,10,5,149,82,9,3,684,340,0,3,18,11,153,136,116,100,2008,1924,84,78,8658,8108,34,32,232,238,144,149,129,157,2110,1904,104,114,8921,8339,33,29,216,208,141,149,134,143,1928,1880,108,93,8774,8215,38,43,211,211,153,131,139,146,1838,1761,97,106,8838,8168,36,32,194,206,156,141,116,173,1873,1759,98,111,8687,8274,40,37,192,178,148,137,102,174,1841,1803,125,114,8620,8297,42,36,208,171,137,138,133,148,1851,1756,119,104,8757,8167,36,28,201,190,153,159,139,150,1778,1704,103,105,8714,8324,38,33,175,190,148,125,130,119,1771,1615,147,104,8565,8036,32,46,168,166,156,151,146,143,1800,1611,121,115,8711,8158,32,33,139,163,149,130,148,161,1636,1515,130,129,8477,8114,55,37,165,150,136,127,174,174,1454,1422,116,109,8071,7830,36,38,111,113,146,150,140,146,1380,1333,118,81,8001,7552,51,33,155,137,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,54,WV,WV DEPARTMENT OF EDUCATION,1900 KANAWHA BOULEVARD EAST,CHARLESTON,WV,25305,,3045582681,437.56,1085.0,7959.97,10764.94,-2.0,20247.47,3656.87,374.61,248.98000000000002,468.40000000000003,23.0,740.38,343.83,307.0,769.07,1142.56,1129.19,461.2,1682.39,8525.04,15280,21172,21026,20623,20225,20748,20491,21085,20637,20778,22569,20479,19259,18498,-2,282870,5,7,42,55,100,103,339,293,7402,6524,6,6,216,182,16,11,72,69,152,125,492,412,10085,9198,6,8,279,247,13,9,71,59,162,164,527,440,10014,9087,7,7,238,228,15,12,62,74,156,108,478,471,9697,9160,6,5,201,178,11,12,66,84,121,122,535,490,9582,8946,4,3,126,123,10,6,94,72,136,114,539,536,9815,9197,4,4,111,110,16,8,75,68,128,148,571,498,9630,9121,1,3,96,128,17,13,77,91,133,118,601,506,9932,9378,1,4,109,105,15,9,70,74,132,120,580,519,9653,9291,6,3,88,77,19,17,68,88,120,98,554,542,9747,9379,0,2,79,65,12,18,61,83,128,120,669,567,10918,9859,5,1,74,54,13,6,62,81,93,96,584,516,9723,9194,1,0,55,55,12,7,68,74,94,98,537,493,8891,8887,2,2,44,50,11,7,71,69,82,97,507,470,8794,8331,1,2,29,27,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,5,AR,ARKANSAS DEPARTMENT OF EDUCATION,"FOUR CAPITOL MALL, ROOM 304A",LITTLE ROCK,AR,72201,,5016284475,534.6,2253.87,14618.83,13974.33,2601.33,33982.96,8052.0,806.0,721.5,808.5,-2.0,1530.0,1095.0,264.0,675.0,2390.0,1781.0,4701.0,7644.0,9729.0,14466,37305,37491,36702,36452,36662,36856,36592,36832,36339,38078,35729,32711,30441,458,483114,30,28,88,72,962,989,1885,2002,4154,4001,34,18,97,106,102,105,237,227,2384,2284,3735,3683,12233,11193,161,110,438,413,117,108,292,292,2301,2070,3894,3783,12173,11463,114,121,389,374,134,125,263,339,2197,2044,3790,3666,11895,11293,106,102,384,364,122,113,279,281,2116,2044,3787,3626,12123,11123,100,87,330,321,117,123,249,236,2047,1960,3886,3771,11989,11457,82,107,325,313,109,144,289,247,1941,1820,3948,3787,12309,11491,95,77,319,280,142,130,255,296,1860,1801,3896,3822,12155,11478,87,87,299,284,138,133,252,250,1810,1668,3914,3909,12428,11643,96,76,269,246,141,131,276,250,1698,1641,3909,3964,12141,11520,89,60,239,280,142,149,258,251,1794,1665,4450,4125,12696,11895,86,71,240,256,115,121,276,250,1630,1512,3813,3823,11951,11604,91,91,240,212,121,116,252,220,1464,1346,3314,3563,11103,10685,54,74,181,218,99,89,237,220,1248,1180,3159,3372,10388,10057,28,41,153,170,0,0,4,3,17,11,106,56,162,93,0,1,5,0
2011,40,OK,OKLAHOMA STATE DEPARTMENT OF EDUCATION,2500 NORTH LINCOLN BLVD,OKLAHOMA CITY,OK,73105,4599.0,4055213301,1599.1000000000001,2447.3,18498.8,18804.2,-2.0,41349.4,8462.4,299.0,651.1,978.0,-2.0,1629.1000000000001,1047.1,798.6,547.1,2891.4,2194.1,3560.3,4495.5,15445.300000000001,42145,53053,53145,50090,49523,48690,48456,48469,47869,47321,48154,45332,42450,39447,1976,666120,3324,3037,347,339,3293,3180,1798,1721,11716,10510,70,71,1423,1316,4203,3823,433,462,4274,4127,2616,2367,14239,13094,113,112,1653,1537,4271,4058,469,411,4211,3996,2608,2367,14473,13231,80,83,1483,1404,4147,3904,462,495,3879,3695,2506,2348,13413,12573,57,75,1314,1222,4122,3877,439,449,3625,3558,2447,2360,13424,12722,68,73,1256,1103,4117,4040,470,424,3511,3372,2441,2391,13103,12368,61,81,1157,1154,4316,4070,464,459,3376,3127,2399,2275,13092,12437,53,81,1205,1102,4273,4175,420,475,3213,2967,2452,2397,13351,12469,68,48,1130,1031,4292,4139,421,418,2988,2831,2445,2327,13363,12473,68,58,1010,1036,4320,4003,411,418,2838,2727,2462,2363,13263,12444,50,62,999,961,4111,3990,473,455,2958,2688,2588,2497,13456,12751,59,51,1032,1045,3954,3737,504,442,2639,2454,2326,2197,13077,12160,65,48,883,846,3630,3607,421,464,2142,2133,2129,2173,12436,11787,54,44,703,727,3437,3340,459,433,1817,1762,1898,1966,11709,11182,34,35,684,691,182,118,1,2,71,44,222,82,760,421,7,4,39,23
