SURVYEAR,FIPST,STABR,SEANAME,STREET,CITY,STNAME,ZIP,ZIP4,PHONE,PKTCH,KGTCH,ELMTCH,SECTCH,UGTCH,TOTTCH,AIDES,CORSUP,ELMGUI,SECGUI,OTHGUI,TOTGUI,LIBSPE,LIBSUP,LEAADM,LEASUP,SCHADM,SCHSUP,STUSUP,OTHSUP,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,UG,MEMBER,AMPKM,AMPKF,ASPKM,ASPKF,HIPKM,HIPKF,BLPKM,BLPKF,WHPKM,WHPKF,HPPKM,HPPKF,TRPKM,TRPKF,AMKGM,AMKGF,ASKGM,ASKGF,HIKGM,HIKGF,BLKGM,BLKGF,WHKGM,WHKGF,HPKGM,HPKGF,TRKGM,TRKGF,AM01M,AM01F,AS01M,AS01F,HI01M,HI01F,BL01M,BL01F,WH01M,WH01F,HP01M,HP01F,TR01M,TR01F,AM02M,AM02F,AS02M,AS02F,HI02M,HI02F,BL02M,BL02F,WH02M,WH02F,HP02M,HP02F,TR02M,TR02F,AM03M,AM03F,AS03M,AS03F,HI03M,HI03F,BL03M,BL03F,WH03M,WH03F,HP03M,HP03F,TR03M,TR03F,AM04M,AM04F,AS04M,AS04F,HI04M,HI04F,BL04M,BL04F,WH04M,WH04F,HP04M,HP04F,TR04M,TR04F,AM05M,AM05F,AS05M,AS05F,HI05M,HI05F,BL05M,BL05F,WH05M,WH05F,HP05M,HP05F,TR05M,TR05F,AM06M,AM06F,AS06M,AS06F,HI06M,HI06F,BL06M,BL06F,WH06M,WH06F,HP06M,HP06F,TR06M,TR06F,AM07M,AM07F,AS07M,AS07F,HI07M,HI07F,BL07M,BL07F,WH07M,WH07F,HP07M,HP07F,TR07M,TR07F,AM08M,AM08F,AS08M,AS08F,HI08M,HI08F,BL08M,BL08F,WH08M,WH08F,HP08M,HP08F,TR08M,TR08F,AM09M,AM09F,AS09M,AS09F,HI09M,HI09F,BL09M,BL09F,WH09M,WH09F,HP09M,HP09F,TR09M,TR09F,AM10M,AM10F,AS10M,AS10F,HI10M,HI10F,BL10M,BL10F,WH10M,WH10F,HP10M,HP10F,TR10M,TR10F,AM11M,AM11F,AS11M,AS11F,HI11M,HI11F,BL11M,BL11F,WH11M,WH11F,HP11M,HP11F,TR11M,TR11F,AM12M,AM12F,AS12M,AS12F,HI12M,HI12F,BL12M,BL12F,WH12M,WH12F,HP12M,HP12F,TR12M,TR12F,AMUGM,AMUGF,ASUGM,ASUGF,HIUGM,HIUGF,BLUGM,BLUGF,WHUGM,WHUGF,HPUGM,HPUGF,TRUGM,TRUGF
2011,35,NM,NEW MEXICO PUBLIC EDUCATION DEPARTMENT,300 DON GASPAR,SANTA FE,NM,87501,2786.0,5058275800,414.93,1272.94,8050.92,8182.4400000000005,4035.4500000000003,21956.68,5919.46,599.53,306.90000000000003,467.49,26.69,801.08,260.09000000000003,159.17000000000002,883.49,103.25,1330.97,3619.01,3172.9300000000003,7101.22,7652,26954,26643,26175,25639,25703,25786,25270,25223,24436,29325,25734,22014,20671,-2,337225,684,524,28,14,2721,1759,89,46,1135,576,11,3,36,26,1403,1296,131,121,8334,7928,267,210,3552,3284,18,20,190,200,1216,1268,146,147,8268,7888,260,243,3471,3303,16,19,190,208,1279,1276,128,152,8173,7811,247,238,3349,3177,13,11,167,154,1227,1175,164,180,7842,7787,259,241,3245,3181,7,13,167,151,1239,1199,174,160,7959,7780,262,245,3301,3064,6,10,152,152,1246,1164,162,163,7959,7711,275,238,3379,3175,7,3,159,145,1214,1170,138,148,7639,7463,298,251,3457,3187,8,13,154,130,1302,1226,180,165,7751,7473,262,236,3302,3033,7,6,141,139,1162,1218,155,149,7515,7148,226,234,3261,3083,6,14,112,153,1687,1418,192,190,9092,8137,342,274,3976,3705,11,9,149,143,1365,1353,157,166,7642,7324,318,257,3559,3319,12,9,130,123,1241,1163,165,154,6093,6182,272,230,3188,3107,8,4,91,116,1257,1315,152,129,5482,5622,276,220,3122,2890,7,5,99,95,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,11,DC,WASHINGTON DC OFFICE OF THE ST SUPERINTENDENT,810 FIRST STREET NE,WASHINGTON,DC,20002,,2027276436,735.8000000000001,362.7,2682.1265009860153,1929.5885207391168,567.8449782748688,6278.06,1403.79,134.41,99.96690534148782,115.89982846281558,30.8432661956966,246.71,119.13,15.73,240.4,184.69,584.2,495.97,1025.72,812.0,10831,6358,5757,5102,4805,4643,4816,4560,4248,4328,6050,4313,3708,3190,1202,73911,4,6,71,65,760,803,3945,3959,531,503,7,11,75,91,2,4,67,43,509,471,2233,2203,379,357,4,2,38,46,3,2,34,38,418,428,2073,1980,349,332,4,4,51,41,2,0,52,39,358,341,1805,1851,303,272,3,2,51,23,1,1,38,43,361,325,1736,1746,251,219,2,5,39,38,3,0,47,43,322,337,1707,1666,240,216,5,3,21,33,1,3,29,39,309,293,1890,1827,202,173,3,2,22,23,2,1,30,32,298,286,1823,1781,137,128,1,1,18,22,1,2,21,26,257,273,1675,1724,131,98,3,1,19,17,1,1,24,31,259,237,1724,1798,116,103,1,1,19,13,1,5,36,34,360,306,2645,2424,86,109,1,5,16,22,0,4,31,33,248,241,1679,1886,83,74,3,2,15,14,3,6,23,24,183,226,1407,1654,64,72,3,3,17,23,2,3,18,20,146,184,1205,1451,61,65,4,2,8,21,0,0,0,4,96,76,601,382,19,17,0,0,4,3
2011,21,KY,KENTUCKY DEPARTMENT OF EDUCATION,500 MERO STREET,FRANKFORT,KY,40601,,5025645279,712.19,1216.6000000000001,19240.33,9907.14,10783.42,41859.68,12148.5,995.2,833.1344652302005,662.8655347697995,-2.0,1496.0,1105.0,215.07,902.0600000000001,2009.22,3159.48,4817.650000000001,2511.92,21066.77,28107,52325,52552,51269,51309,49894,51330,51087,50194,50043,52499,49938,47027,43928,485,681987,16,17,143,138,1174,1060,2094,1894,11036,9362,23,14,592,544,34,41,372,382,1720,1668,2699,2532,21381,19647,15,28,901,905,33,30,390,389,1570,1470,2666,2477,21576,20242,26,28,837,818,33,40,402,440,1338,1261,2553,2561,21273,20053,20,17,630,648,34,40,377,439,1342,1200,2760,2597,21159,20090,20,21,608,622,43,32,346,385,1230,1153,2804,2618,20616,19466,16,18,560,607,37,24,383,373,1179,1036,2812,2679,21389,20274,25,26,574,519,35,48,335,363,993,914,2846,2695,21597,20164,14,17,543,523,29,35,310,319,893,837,2710,2620,21339,20075,15,21,467,524,41,40,277,313,898,803,2712,2640,21135,20236,22,19,442,465,36,38,331,308,936,825,3195,2807,22533,20576,23,12,430,449,24,48,335,297,760,711,2802,2626,21600,19986,16,21,332,380,39,42,329,316,712,694,2602,2516,20010,19175,14,11,290,277,28,22,282,268,504,565,2400,2366,18789,18256,7,22,203,216,1,0,2,0,7,4,57,40,227,144,0,0,2,1
2011,9,CT,CONNECTICUT STATE DEPARTMENT OF EDU,PO BOX 2219,HARTFORD,CT,6145,2219.0,8607136500,352.82,1731.17,27100.9,13310.06,1309.8600000000001,43804.81,14253.2,3585.2000000000003,426.95,676.12,-2.0,1103.07,756.73,576.97,1893.41,3274.9700000000003,2199.02,1655.71,2905.58,16946.05,16022,38840,40396,40051,40946,40138,41078,41431,41964,42511,45140,43145,42098,40677,-2,554437,55,41,400,338,2218,1820,1278,1139,4681,3583,11,10,225,223,67,54,985,929,4741,4414,2603,2386,11166,10353,13,12,578,539,58,68,1081,1039,4558,4467,2680,2444,11762,11279,21,18,486,435,71,68,1019,1033,4350,4039,2641,2489,12163,11323,14,12,446,383,66,68,1001,1051,4308,4038,2643,2480,12622,11808,13,16,412,420,50,51,974,1038,4119,3922,2653,2512,12476,11570,9,15,387,362,64,69,871,933,4116,3948,2689,2513,13103,11984,10,17,386,375,56,65,927,959,4025,3908,2809,2564,13083,12300,12,15,357,351,60,66,842,846,4013,3825,2918,2606,13447,12666,14,11,319,331,67,63,841,891,4005,3930,2820,2661,13693,12853,13,18,316,340,73,76,844,862,4583,4337,3368,3063,14038,13173,8,16,359,340,73,78,808,832,3897,3630,3038,2687,14097,13387,8,14,301,295,93,82,819,846,3503,3364,2831,2602,14113,13373,15,14,217,226,102,119,765,772,3101,2986,2501,2504,13853,13540,10,14,213,197,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,6,CA,CALIFORNIA DEPARTMENT OF EDUCATION,1430 N STREET,SACRAMENTO,CA,95814,5901.0,9163190800,4122.0,19751.84,150320.2,85726.94,8767.95,268688.93,63886.0,12539.56,2183.8,4216.92,1282.23,7682.95,796.94,3936.0,3211.89,21543.0,16147.62,30745.0,16214.41,101795.5,73630,488070,489961,471993,467539,462082,452305,466942,464260,467626,501073,494739,487113,494144,6357,6287834,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1495,1515,24636,22660,139333,131482,14290,13176,61532,55287,1234,1215,10581,9634,1471,1414,25788,24686,137756,131060,15489,14419,60870,56677,1286,1271,8977,8797,1505,1428,26601,25271,129296,123574,14810,13714,61088,56437,1361,1218,8041,7649,1501,1375,26983,25594,126927,121448,14815,13921,61028,57312,1338,1216,7215,6866,1539,1459,26485,25154,124945,119927,15118,14577,60437,56633,1347,1300,6694,6467,1443,1378,26363,24792,122283,117655,13840,13417,59899,55818,1306,1197,6610,6304,1543,1538,28035,26225,124190,119011,15398,14994,62594,58388,1422,1306,6312,5986,1633,1536,26678,24969,123049,117460,16226,15280,63586,59176,1375,1286,6113,5893,1712,1634,27110,25020,122799,118000,16506,15672,64428,60646,1445,1362,5749,5543,1912,1832,29154,26715,133658,126301,17298,16635,67242,62784,1464,1381,7343,7354,1973,1827,29535,27651,126619,121682,17226,16464,69424,65371,1419,1348,7204,6996,1974,1870,30074,27797,121021,117708,17274,16575,70827,66889,1541,1490,6065,6008,1935,1967,30675,28108,121991,117100,19049,17653,73351,68251,1564,1500,5597,5403,49,28,411,143,1945,1076,381,195,1252,704,31,9,87,46
2011,46,SD,SOUTH DAKOTA DEPARTMENT OF EDUCATION,800 GOVERNORS DRIVE,PIERRE,SD,57501,2294.0,6057733134,186.19,510.33,5193.75,2513.6,842.91,9246.78,2417.85,154.69,203.2412441774546,120.72875582254542,-2.0,323.97,124.62,76.45,736.73,388.23,413.27,486.95,1026.45,3662.9900000000002,2996,11375,10326,9787,9531,9364,9207,9437,9367,9139,10209,9740,8876,8662,-2,128016,218,214,16,14,105,115,112,70,1094,922,1,4,53,58,810,712,72,71,311,251,141,146,4415,4032,2,7,236,169,664,661,73,61,255,271,139,138,4057,3701,11,11,145,139,611,624,65,88,219,212,143,136,3846,3616,6,4,111,106,627,594,73,65,218,175,138,135,3741,3583,2,8,88,84,651,575,65,85,198,161,118,99,3717,3539,4,8,63,81,572,611,53,72,163,175,132,132,3732,3418,4,3,71,69,548,584,68,72,185,170,120,115,3904,3532,5,5,64,65,596,522,81,67,173,160,107,96,3879,3558,1,2,59,66,502,488,87,65,180,139,127,112,3718,3617,3,6,41,54,655,655,88,89,200,167,146,106,4183,3802,3,1,43,71,510,491,91,82,160,150,121,124,4056,3840,5,4,48,58,337,342,81,77,133,127,116,115,3825,3647,2,3,34,37,314,262,64,81,106,114,109,97,3891,3552,3,6,23,40,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,23,ME,MAINE DEPARTMENT OF EDUCATION,23 STATE HOUSE STATION,AUGUSTA,ME,4333,23.0,2076246600,138.78,759.19,9388.25,4601.82,-2.0,14888.04,8894.2,205.0,594.2267314864392,502.87326851356096,-2.0,1097.1000000000001,386.0,629.0,44.6,760.0,1655.0,1229.0,1702.8,8455.1,5048,13644,13826,13714,13457,13533,13885,14038,14317,14584,14695,14686,14655,14887,-2,188969,33,24,13,15,48,48,99,68,2368,2232,1,3,50,46,74,38,95,118,162,152,203,211,6490,5789,5,9,151,147,67,59,89,129,112,138,234,244,6511,6018,4,9,99,113,72,58,119,121,146,117,251,214,6427,5986,8,11,101,83,56,55,88,122,125,119,212,205,6424,5867,6,9,77,92,58,58,89,112,115,119,218,208,6367,6006,7,6,89,81,70,57,123,121,125,116,218,189,6579,6109,4,11,87,76,46,62,91,127,85,115,205,210,6702,6213,9,9,89,75,71,56,95,115,102,96,229,174,6837,6357,4,7,83,91,63,46,105,134,114,100,224,172,6835,6635,5,6,69,76,56,63,95,98,123,82,223,201,7126,6488,6,6,71,57,57,65,97,151,96,94,221,211,6896,6691,6,10,48,43,59,56,113,131,130,97,189,181,6993,6602,5,9,42,48,49,56,102,124,108,96,206,165,7308,6591,4,6,44,28,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,34,NJ,NEW JERSEY DEPARTMENT OF EDUCATION,JUDGE ROBERT L CARTER BLDG,TRENTON,NJ,8625,500.0,8779006960,2692.1,3046.3,53028.4,37690.8,13261.5,109719.1,26780.4,3146.6,1904.2,1965.8,-2.0,3870.0,1550.1000000000001,297.0,1387.9,5657.0,4709.1,7695.0,11756.0,26359.4,36581,90955,96939,98784,97569,96459,98000,97384,99004,98968,104553,98853,96668,94059,51655,1356431,38,35,1299,1166,7330,7168,3949,3733,6065,5225,65,48,239,221,69,79,4284,4151,12482,12053,7208,6871,21642,20378,137,130,752,719,83,74,4576,4588,12554,12315,7599,7433,23701,22384,162,146,661,663,63,61,4931,4756,11983,12099,7488,7427,24876,23654,121,123,603,599,47,69,4934,4854,11269,11107,7661,7639,24767,23937,137,154,478,516,55,47,4785,4629,10903,10798,7296,7542,25138,24206,130,134,412,384,58,46,4738,4566,10621,10497,7614,7738,26266,24950,98,110,361,337,57,57,4524,4417,10532,10053,7792,7896,25974,25168,114,82,356,362,55,51,4348,4241,10165,10015,7822,8176,27100,26202,105,94,314,316,42,60,4425,4373,9986,9603,7541,7783,27947,26389,107,107,306,299,80,77,4707,4469,11454,10783,8576,8736,27813,26953,110,80,351,364,75,57,4394,4294,9852,9739,7739,7948,27216,26781,111,84,262,301,54,66,4303,4259,8806,9076,7296,7514,27855,26750,117,102,244,226,50,71,4107,3879,8473,8482,7005,7526,27090,26769,109,84,176,238,40,19,1769,668,10512,4316,9706,3984,14387,5833,41,11,263,106
2011,55,WI,WISCONSIN DEPT OF PUBLIC INSTRUCTION,PO BOX 7841,MADISON,WI,53707,7841.0,8004414563,2000.93,3195.21,22676.510000000002,28208.83,163.45000000000002,56244.93,10014.14,1164.24,619.53,1148.27,83.94,1851.74,979.07,615.3000000000001,996.63,2800.71,2393.67,3551.0,6363.39,14557.880000000001,54438,60875,60572,60984,60216,60094,60958,61818,61442,61413,67542,65510,66851,68392,-2,871105,308,276,962,962,3542,3079,3219,3054,20326,17094,38,36,791,751,407,372,1123,1177,3723,3657,3051,2934,22223,20382,26,40,903,857,417,377,1128,1146,3544,3410,3081,2871,22183,20845,26,27,746,771,423,390,1096,1170,3572,3223,3065,2874,22548,21225,24,26,657,691,428,380,1065,1132,3389,3146,3046,2838,22484,21058,26,21,566,637,400,405,1036,1092,3262,3142,3021,2913,22504,21159,15,17,553,575,399,395,1083,1112,3287,3077,2997,2846,23117,21519,19,25,524,558,417,372,1066,1073,2999,2915,3045,3001,23655,22123,27,16,530,579,398,391,1020,1054,2928,2791,3098,2870,23565,22274,31,14,523,485,401,426,1003,1000,2753,2710,3070,2886,23687,22433,29,18,520,477,476,385,1112,1055,3013,2726,4087,3563,25571,24432,24,24,540,534,434,389,1140,1117,2606,2517,3158,2890,25767,24599,20,21,428,424,452,421,1157,1271,2594,2446,3198,3001,26462,24991,19,11,419,409,494,444,1229,1161,2360,2150,3033,2785,27722,26228,23,22,363,378,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,56,WY,WYOMING DEPARTMENT OF EDUCATION,2300 CAPITOL AVENUE,CHEYENNE,WY,82002,,3077777673,35.57,517.23,3908.62,3385.4900000000002,-2.0,7846.91,2402.87,385.28000000000003,159.33,269.01,-2.0,428.34000000000003,125.22,376.03000000000003,359.94,502.93,362.82,638.35,678.8000000000001,3020.55,518,7873,7441,7104,7115,6790,6747,6833,6840,6796,6955,6661,6248,6178,-2,90099,32,36,2,1,24,25,5,1,204,177,1,1,7,2,127,123,22,28,549,490,38,37,3356,2968,3,3,70,59,150,131,23,28,518,545,34,43,2957,2853,5,7,70,77,133,121,20,40,512,466,37,36,2907,2675,2,6,75,74,123,131,32,32,473,458,40,32,2939,2703,9,2,67,74,121,113,17,30,461,445,50,22,2816,2583,5,10,56,61,116,104,22,25,481,426,42,31,2747,2615,3,6,70,59,107,103,20,22,466,419,44,45,2864,2596,4,3,72,68,106,94,25,28,448,404,37,38,2908,2635,8,2,52,55,116,106,25,28,445,410,36,35,2814,2654,5,6,57,59,140,133,24,29,431,394,39,36,2869,2733,4,5,60,58,89,89,44,31,397,357,37,48,2807,2662,5,4,34,57,56,74,25,32,313,344,39,29,2676,2568,2,5,37,48,58,53,29,26,311,314,33,35,2738,2495,4,3,40,39,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,66,GU,GUAM DEPARTMENT OF EDUCATION,P.O. BOX DE,HAGATNA,GU,96932,,6713001547,37.0,54.0,834.0,991.0,375.0,2291.0,606.0,128.0,29.0,58.0,-2.0,87.0,37.0,12.0,18.0,251.0,92.0,203.0,36.0,162.0,13,2216,2337,2328,2418,2334,2358,2364,2383,2472,3101,3269,2089,1561,-2,31243,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,210,196,6,1,1,2,6,6,942,798,23,25,1,1,255,233,7,1,2,4,14,7,923,832,30,27,1,1,257,218,1,1,1,1,8,9,903,891,21,15,0,0,286,253,2,0,1,1,9,13,965,847,22,19,2,0,279,251,4,1,3,2,6,8,875,850,28,25,0,0,304,243,1,2,0,1,10,8,897,840,26,26,0,0,275,259,0,1,3,2,5,9,912,851,19,28,2,0,290,262,0,0,4,2,3,10,938,814,32,26,0,0,324,262,2,0,4,0,7,10,943,875,23,22,2,0,403,316,3,1,5,2,15,5,1226,1034,45,44,0,0,471,360,2,2,3,3,11,6,1292,1066,25,28,0,0,332,325,1,2,3,1,9,2,695,664,25,30,0,0,270,257,0,0,4,3,10,6,491,500,14,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,19,IA,IOWA DEPARTMENT OF EDUCATION,400 E. 14TH & GRAND,DES MOINES,IA,50319,146.0,5152815294,1249.46,2729.17,20114.66,10564.86,-2.0,34658.15,10906.66,302.37,749.83,418.04,-2.0,1167.8700000000001,496.35,423.04,1220.7,1915.52,1789.03,2273.38,4206.96,10541.18,26930,40187,35807,35364,35320,34951,35116,35509,35470,35498,36726,36333,35590,37069,-2,495870,50,43,224,211,1386,1254,674,573,11383,10257,21,13,442,399,74,67,378,372,2167,2056,1081,988,16749,14806,39,41,745,624,86,80,387,423,1897,1800,960,962,14409,13522,36,31,597,617,79,72,427,373,1812,1730,1020,948,14177,13499,28,36,580,583,95,69,407,422,1729,1656,1000,900,14379,13667,33,21,462,480,74,83,377,390,1666,1678,928,904,14394,13402,34,20,507,494,80,84,338,366,1613,1581,920,922,14488,13724,40,13,458,489,85,75,403,404,1678,1570,943,912,14676,13807,30,30,464,432,67,93,346,332,1567,1472,924,908,14873,13997,30,23,431,407,92,71,385,331,1460,1475,905,887,14900,14099,19,25,447,402,86,105,371,383,1534,1487,1071,901,15530,14381,30,27,425,395,89,105,343,408,1463,1406,936,826,15474,14434,24,20,401,404,93,94,359,373,1335,1272,886,758,15199,14500,28,27,328,338,78,67,361,351,1240,1207,850,816,16127,15248,20,20,329,355,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,12,FL,FLORIDA DEPARTMENT OF EDUCATION,OFFICE OF THE COMMISSIONER,TALLAHASSEE,FL,32399,6533.0,8502450505,2421.4,10440.44,63841.18,65633.43000000001,32669.850000000002,175006.30000000002,29659.25,678.0,1780.31,3196.83,577.86,5555.0,2376.83,876.04,1922.78,14359.0,8190.52,15463.65,10377.35,64244.44,54938,203302,203496,200381,206732,195625,202733,204229,204288,200378,218469,203907,195307,174371,-2,2668156,63,48,516,393,9697,7100,9174,7508,11296,7599,36,31,869,608,269,275,2511,2363,31893,29728,24007,22497,42636,39972,197,166,3528,3260,287,233,2547,2529,31435,29387,24164,22435,43027,40117,200,175,3548,3412,322,292,2624,2648,30832,29065,23098,22033,42522,39712,149,155,3538,3391,426,360,2790,2612,32098,29884,25191,23279,43147,39636,119,79,3662,3449,418,366,2511,2617,29269,27870,22489,21784,42260,39436,80,84,3229,3212,430,397,2607,2661,30044,28857,23327,22401,43779,41523,93,71,3298,3245,433,386,2603,2573,30100,28547,23962,23037,44303,41770,89,117,3167,3142,426,403,2473,2490,29971,28269,24063,22633,45350,42031,94,106,2925,3054,426,443,2495,2491,29026,27704,22994,21854,45037,41967,89,104,2787,2961,457,455,2789,2743,30902,28855,25879,24561,49866,45965,111,104,2807,2975,393,375,2626,2578,28143,27060,23510,22959,46530,44385,92,94,2544,2618,435,386,2599,2573,26413,26047,22194,22108,44391,43094,106,86,2387,2488,329,355,2431,2365,22171,22487,19155,20169,40726,39824,97,84,2005,2173,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,31,NE,NEBRASKA DEPARTMENT OF EDUCATION,301 CENTENNIAL MALL SOUTH,LINCOLN,NE,68509,4987.0,4024712295,401.2654949670279,1312.3763835221498,12128.648121510823,8339.66,-2.0,22181.95,6344.93,975.1800000000001,379.55,415.99,-2.0,795.54,540.24,416.17,591.17,1036.97,1033.52,1477.76,1434.79,8461.94,12907,23795,22951,23099,22428,22279,21949,21738,21243,21115,21965,21986,21509,22332,-2,301296,156,132,123,106,1464,1249,597,519,4676,3478,12,6,209,180,189,159,244,264,2210,2078,866,822,8384,7735,11,20,409,404,160,135,273,238,2083,2009,857,774,8142,7455,19,16,385,405,202,155,233,251,2034,1985,823,733,8180,7700,10,13,375,405,172,165,254,254,1964,1915,761,721,8071,7400,8,8,369,366,170,150,220,230,2014,1929,712,698,7837,7587,10,17,338,367,178,169,245,226,1902,1782,782,696,7752,7535,18,10,353,301,168,158,210,212,1810,1780,742,711,7905,7364,12,7,331,328,155,154,230,203,1752,1641,698,648,7759,7331,15,10,331,316,150,132,188,205,1713,1519,729,628,7878,7367,15,16,283,292,142,159,219,250,1835,1657,844,657,7976,7541,11,8,304,362,149,140,222,239,1735,1555,815,690,8043,7719,16,15,302,346,147,120,224,210,1526,1428,689,686,8161,7727,12,7,273,299,172,143,268,235,1439,1397,737,627,8649,8054,20,13,274,304,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,30,MT,MONTANA OFFICE OF PUBLIC INSTRUCTIO,1227 11TH AVENUE,HELENA,MT,59620,2501.0,4064443095,202.3550917909563,661.8212801320719,6116.383628076972,3172.11,-2.0,10152.67,2261.96,158.59,286.27,164.21,1.75,452.23,355.74,128.0,172.70000000000002,476.0,519.46,45.0,675.95,3392.0,1475,11697,11013,11015,10825,10739,10780,10566,10842,10773,11326,10841,10249,10208,-2,142349,152,82,2,6,37,21,6,4,752,362,6,2,31,12,824,755,40,49,275,224,51,67,4787,4306,21,15,132,151,700,716,37,50,238,249,56,52,4398,4229,10,12,135,131,730,723,56,46,191,193,74,63,4449,4266,13,18,95,98,737,632,37,52,228,199,59,57,4432,4195,11,13,82,91,657,707,33,51,188,200,59,49,4490,4071,12,20,93,109,661,624,35,42,204,212,71,53,4406,4249,18,15,105,85,626,601,38,46,207,189,58,48,4465,4094,13,11,91,79,635,639,42,48,188,204,67,69,4580,4180,17,7,81,85,595,539,38,40,178,215,54,46,4558,4324,14,9,84,79,675,645,37,42,204,203,62,52,4762,4442,17,13,100,72,573,535,47,66,200,166,50,48,4649,4347,18,13,69,60,482,452,55,68,180,147,36,37,4469,4194,14,10,53,52,417,416,39,70,176,132,49,39,4512,4216,9,18,56,59,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2011,20,KS,KANSAS STATE DEPARTMENT OF EDUCATIO,120 SE 10TH AVENUE,TOPEKA,KS,66612,,7852963201,863.8000000000001,8456.5,10379.6,17023.8,683.6,37407.3,9327.300000000001,998.8000000000001,349.69998418728176,721.3000158127182,-2.0,1071.0,734.5,501.2,498.6,1349.0,1874.0,2101.0,4193.3,10575.4,18110,37557,36798,36180,36215,35608,35992,35816,35455,35291,36197,35081,33699,32478,5631,486108,100,70,258,179,2220,1939,597,526,6482,4930,11,12,453,333,180,167,486,446,3757,3539,1466,1293,12574,11831,42,25,862,889,180,166,487,430,3637,3458,1392,1301,12323,11642,28,38,865,851,198,174,496,485,3430,3375,1325,1241,12234,11405,35,24,916,842,180,183,485,504,3426,3221,1406,1217,12257,11612,33,27,824,840,182,181,475,497,3229,3073,1371,1287,12119,11427,23,35,863,846,208,178,436,478,3223,3109,1301,1242,12462,11663,25,20,835,812,226,213,474,474,3214,2904,1321,1284,12528,11574,28,23,766,787,216,233,408,396,2994,2850,1362,1280,12553,11587,36,29,775,736,251,210,423,446,2996,2749,1354,1262,12395,11671,31,31,717,755,245,232,468,461,2939,2831,1472,1276,12836,11902,33,27,715,760,229,192,451,464,2708,2555,1312,1253,12606,11919,23,35,694,640,215,171,405,394,2385,2255,1249,1209,12334,11724,15,30,602,711,190,182,431,386,2045,2047,1192,1158,12223,11430,15,19,568,592,37,65,41,59,498,882,297,337,1389,1906,4,12,54,50
